a0_min        a0_flood      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.100901E+03  0.577429E+02  0.650181E-03  0.110767E+02  0.979870E+01  0.233814E-03  0.162820E+02  0.386375E+02
  0.100901E+03  0.577429E+02  0.650181E-03  0.121000E+02  0.979870E+01  0.102628E-02  0.153076E+02  0.379427E+02
  0.100901E+03  0.583091E+02  0.427712E-03  0.102435E+02  0.106541E+02  0.102628E-02  0.145240E+02  0.403151E+02
  0.100901E+03  0.583091E+02  0.342975E-03  0.991657E+01  0.939659E+01  0.219393E-02  0.142601E+02  0.395903E+02
  0.100901E+03  0.583091E+02  0.342975E-03  0.953668E+01  0.886515E+01  0.219393E-02  0.123095E+02  0.392180E+02
  0.100901E+03  0.583091E+02  0.342975E-03  0.924598E+01  0.900336E+01  0.120792E-02  0.140775E+02  0.404199E+02
  0.100901E+03  0.583091E+02  0.342975E-03  0.998201E+01  0.900336E+01  0.156355E-02  0.135249E+02  0.400364E+02
  0.100901E+03  0.583091E+02  0.342975E-03  0.101857E+02  0.804721E+01  0.156355E-02  0.141707E+02  0.397189E+02
  0.999755E+02  0.595914E+02  0.342975E-03  0.101857E+02  0.975148E+01  0.156355E-02  0.151378E+02  0.407149E+02
  0.999755E+02  0.595914E+02  0.342975E-03  0.113778E+02  0.957080E+01  0.156355E-02  0.146877E+02  0.404284E+02
  0.999755E+02  0.595914E+02  0.342975E-03  0.907692E+01  0.963905E+01  0.122164E-02  0.138327E+02  0.410555E+02
  0.999755E+02  0.595914E+02  0.342975E-03  0.106699E+02  0.963905E+01  0.481591E-03  0.155771E+02  0.415879E+02
  0.999755E+02  0.593855E+02  0.342975E-03  0.104333E+02  0.101482E+02  0.481591E-03  0.177937E+02  0.411724E+02
  0.999755E+02  0.593855E+02  0.342975E-03  0.104489E+02  0.961641E+01  0.481591E-03  0.177102E+02  0.412313E+02
  0.999755E+02  0.608234E+02  0.342975E-03  0.106862E+02  0.892252E+01  0.481591E-03  0.151895E+02  0.400717E+02
  0.999755E+02  0.579961E+02  0.342975E-03  0.102936E+02  0.942320E+01  0.586791E-03  0.145727E+02  0.405001E+02
  0.999755E+02  0.578972E+02  0.342975E-03  0.102936E+02  0.912215E+01  0.736665E-03  0.163080E+02  0.399547E+02
  0.999755E+02  0.578972E+02  0.456761E-03  0.937281E+01  0.127980E+02  0.736665E-03  0.148772E+02  0.393164E+02
  0.999755E+02  0.578972E+02  0.456761E-03  0.728820E+01  0.121445E+02  0.736665E-03  0.162113E+02  0.385505E+02
  0.100128E+03  0.578972E+02  0.456761E-03  0.696431E+01  0.123166E+02  0.460369E-04  0.137024E+02  0.366120E+02
  0.100128E+03  0.577547E+02  0.456761E-03  0.641558E+01  0.128386E+02  0.460369E-04  0.135326E+02  0.354225E+02
